1344;;678
1345;;1526
1346;;1006
1346;;1318
1346;;1865
1346;;504
1346;;505
1347;;903
1347;;971
1348;;1450
1349;;1794
135;;1463
135;;291
135;;861
1350;;1688
1350;;610
1350;;77
1351;;2016
1351;;322
1351;;357
1352;;1036
1353;;62
1354;;1044
1355;;1136
1355;;1215
1355;;1262
1355;;1710
1355;;1941
1355;;525
1355;;62
1356;;216
1356;;836
1356;;97
1357;;502
1358;;159
1359;;485
136;;560
1361;;1987
1361;;2108
1361;;927
1361;;928
1362;;1355
1362;;468
1363;;1580
1364;;739
1365;;553
1366;;1649
1367;;913
1368;;132
1368;;1347
1368;;200
1368;;310
1369;;322
137;;1359
1370;;1436
1371;;445
1371;;910
1372;;767
1373;;849
1373;;857
1374;;966
1375;;1428
1376;;1959
1376;;796
1377;;1137
1377;;641
1377;;642
1377;;643
1378;;1142
1379;;1107
138;;727
1380;;1137
1380;;641
1380;;642
1380;;643
1381;;1834
1382;;622
1383;;1394
1383;;1395
1383;;1494
1383;;2
1383;;337
1384;;869
1385;;623
1386;;1620
1386;;389
1386;;431
1386;;507
1386;;645
1387;;1280
1387;;1489
1388;;1017
1389;;249
1389;;472
139;;1169
1390;;1105
1391;;565
1392;;843
1393;;179
1394;;590
1394;;765
1395;;1698
1396;;1197
1396;;147
1396;;1722
1397;;1224
1398;;1606
1399;;917
14;;1890
140;;1785
1400;;848
1401;;1400
1402;;1263
1403;;576
1404;;1753
1405;;333
1406;;604
1407;;1743
1408;;1864
1409;;1654
141;;1447
141;;1570
141;;1678
141;;1679
141;;1896
141;;1944
141;;2038
141;;708
141;;856
1410;;375
1410;;802
1411;;923
1412;;923
1413;;1719
1414;;473
1415;;1635
1415;;1742
1415;;1743
1415;;796
1416;;308
1417;;1599
1417;;723
1418;;588
1419;;1671
142;;1896
142;;2065
1420;;1773
1421;;1369
1422;;1516
1423;;1409
1424;;120
1425;;1205
1426;;1035
1427;;373
1428;;215
1429;;1123
1429;;1331
1429;;1362
1429;;1418
1429;;1661
1429;;1877
1429;;668
143;;1748
143;;1777
143;;531
1430;;1462
1430;;572
1431;;1473
1432;;1089
1432;;1104
1432;;1287
1432;;1290
1432;;135
1432;;1418
1432;;1490
1432;;1661
1432;;252
1432;;467
1432;;487
1432;;488
1432;;489
1432;;524
1432;;825
1433;;537
1434;;202
1434;;2045
1435;;1725
1435;;352
1435;;429
1435;;897
1436;;1850
1437;;839
1438;;1262
1439;;682
1439;;86
144;;2073
144;;856
1440;;1001
1441;;1001
1442;;1602
1443;;986
1444;;1192
1445;;1495
1446;;1011
1446;;1021
1446;;1131
1446;;1336
1446;;1338
1446;;155
1446;;1646
1446;;1674
1446;;1738
1446;;1852
1446;;216
1446;;428
1446;;498
1446;;730
1446;;766
1446;;774
1446;;836
1446;;97
1447;;1558
1447;;1701
1448;;1348
1449;;591
145;;439
1450;;1020
1451;;252
1452;;888
1453;;1598
1454;;1546
1455;;240
1456;;359
1456;;42
1456;;685
1457;;1213
1457;;1452
1457;;1456
1457;;1623
1458;;168
1459;;871
146;;1762
146;;1784
1460;;767
1461;;1811
1462;;10
1463;;1484
1464;;1669
1465;;886
1466;;1240
1467;;1046
1467;;345
1467;;600
1468;;1689
1468;;1747
1468;;1933
1468;;235
1468;;516
1469;;1464
147;;1441
147;;1467
147;;222
147;;40
1470;;1270
1471;;1809
1472;;669
1473;;1403
1474;;519
1475;;159
1476;;433
1476;;475
1476;;725
1477;;264
1478;;943
1479;;1189
1479;;1566
1479;;319
1479;;656
1479;;933
148;;1364
148;;193
148;;1947
148;;920
1480;;357
1481;;429
1482;;1370
1483;;1831
1483;;185
1484;;1463
1485;;1454
1486;;83
1487;;1026
1488;;1350
1489;;1375
149;;799
1490;;1378
1490;;1442
1490;;1443
1491;;1474
1491;;365
1492;;1239
1492;;396
1493;;1240
1493;;1904
1494;;1821
1495;;1879
1496;;1832
1497;;1276
1498;;1451
1499;;628
15;;1022
15;;1400
15;;1579
15;;1616
15;;1847
150;;1863
150;;420
1500;;1804
1501;;503
1502;;768
1503;;1523
1503;;191
1503;;1945
1503;;840
